Drug ID,Drug Name,Usage,Warnings,Side Effects,Generic Name,Drug Class
461,Juluca,"Juluca contains a combination ofdolutegravirandrilpivirine. Dolutegravir and rilpivirine are antiviral medicines that prevents human immunodeficiency virus (HIV) from multiplying in your body. Juluca is used to treat HIV, the virus that can cause theacquired immunodeficiency syndrome(AIDS).",Taking Juluca during the first trimester of pregnancy may cause birth defects. Use effective birth control to prevent pregnancy while you are using dolutegravir. You should not use Juluca if you are allergic to dolutegravir or rilpivirine.,"thoughts about suicide or hurting yourself; anxiety, sadness, feeling hopeless; depression- mood changes, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; or; liver problems-nausea,vomiting, loss of appetite, right-sided upper stomachpain, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes).",dolutegravir and rilpivirine,Antiviral combinations
462,Junel 1.5/30 (Oral),"Ethinyl estradiol and norethindrone combination is used to prevent pregnancy. It is a birth control pill that contains two types of hormones, ethinyl estradiol and norethindrone, and when taken properly, prevents pregnancy. It works by stopping a woman's egg from fully developing each month. The egg can no longer accept a sperm and fertilization (pregnancy) is prevented. No contraceptive method is 100 percent effective. Birth control methods, such as having surgery to become sterile or not having sex are more effective than birth control pills. Discuss your options for birth control with your doctor.","It is very important that your doctor check your progress at regular visitsto make sure that this medicine is working properly and does not cause unwanted effects. These visits will usually be every 6 to 12 months, but some doctors require them more often. Your doctor may also want to check your blood pressure while taking this medicine. Although you are using this medicine to prevent pregnancy, you should know that using this medicine while you are pregnant could harm the unborn baby. If you think you have become pregnant while using the medicine, tell your doctor right away. Make sure your doctor knows if you had given birth within 4 weeks before you start using this medicine.","Absent, missed, or irregular menstrual periods; anxiety; change in vision; changes in skin color; chest pain or discomfort; chills; clay-colored stools; constipation; cough; dark urine; diarrhea; dizziness or lightheadedness; fainting; fast heartbeat; fever; headache; hives or welts; itching skin; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; loss of appetite; medium to heavy, irregular vaginal bleeding between regular monthly periods, which may require the use of a pad or a tampon; nausea; pain or discomfort in the arms, jaw, back, or neck; pain, tenderness, or swelling of the foot or leg; pains in the chest, groin, or legs, especially in the calves of the legs; pounding in the ears; rash; redness of the skin; severe headaches of sudden onset; slow or fast heartbeat; stomach pain; sudden loss of coordination or slurred speech; sweating; troubled breathing; unusual tiredness or weakness; vomiting; vomiting of blood",ethinyl estradiol and norethindrone,Contraceptives
463,Junel 1/20 (Oral),"Ethinyl estradiol and norethindrone combination is used to prevent pregnancy. It is a birth control pill that contains two types of hormones, ethinyl estradiol and norethindrone, and when taken properly, prevents pregnancy. It works by stopping a woman's egg from fully developing each month. The egg can no longer accept a sperm and fertilization (pregnancy) is prevented. No contraceptive method is 100 percent effective. Birth control methods, such as having surgery to become sterile or not having sex are more effective than birth control pills. Discuss your options for birth control with your doctor.","It is very important that your doctor check your progress at regular visitsto make sure that this medicine is working properly and does not cause unwanted effects. These visits will usually be every 6 to 12 months, but some doctors require them more often. Your doctor may also want to check your blood pressure while taking this medicine. Although you are using this medicine to prevent pregnancy, you should know that using this medicine while you are pregnant could harm the unborn baby. If you think you have become pregnant while using the medicine, tell your doctor right away. Make sure your doctor knows if you had given birth within 4 weeks before you start using this medicine.","Absent, missed, or irregular menstrual periods; anxiety; change in vision; changes in skin color; chest pain or discomfort; chills; clay-colored stools; constipation; cough; dark urine; diarrhea; dizziness or lightheadedness; fainting; fast heartbeat; fever; headache; hives or welts; itching skin; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; loss of appetite; medium to heavy, irregular vaginal bleeding between regular monthly periods, which may require the use of a pad or a tampon; nausea; pain or discomfort in the arms, jaw, back, or neck; pain, tenderness, or swelling of the foot or leg; pains in the chest, groin, or legs, especially in the calves of the legs; pounding in the ears; rash; redness of the skin; severe headaches of sudden onset; slow or fast heartbeat; stomach pain; sudden loss of coordination or slurred speech; sweating; troubled breathing; unusual tiredness or weakness; vomiting; vomiting of blood",ethinyl estradiol and norethindrone,Contraceptives
464,Juvederm,"Juvederm is a family of injectable hyaluronic acid dermal fillers used to provide 9 months to one year of correction for moderate to severefacial wrinkles and folds, such as nasolabial folds (lines from the nose to the corners of the mouth). It is also used for lip augmentation. Juvederm products are a smooth consistency gel, compared to some hyaluronic gel products that have a granular consistency. Juvederm products are developed using the Hylacross technology to allow a smoother, malleable gel. Hyaluronic acid is a naturally occurring sugar found in the body. Hyaluronic acid works by holding in water at the injection site and acting as a cushioning agent. It adds temporary volume and a smoother appearance to skin. Most patients need more than one treatment to achieve optimal results.","Contraindications: Juvederm injectable gel should not be used in patients who have severe allergies marked by a history of anaphylaxis or a history or presence of multiple severe allergies. Juvederm should not be used in patients with a history of allergies to Gram-positive bacterial proteins. Juvederm Ultra XC and Juvederm Ultra Plus XC should not be used in patients with a history of allergies to lidocaine. Warnings: Juvederm injectable gel should not be injected into blood vessels as this can cause blood vessel blockage which may result in skin tissue dying, vision impairment (temporary or permanent), and even stroke. If there is an active inflammatory process or infection at specific injection sites, treatment should be deferred until the underlying process is controlled.",Redness; Pain/tenderness; Firmness; Swelling; Lumps/bumps; Bruising; Itching; Discoloration; Risk of infection,hyaluronic acid gel,
465,Juvisync,"Juvisync contains a combination of simvastatin and sitagliptin. Simvastatin is an HMG CoA reductase inhibitor, or ""statin."" Simvastatin reduces levels of ""bad"" cholesterol (low-density lipoprotein, or LDL) and triglycerides in the blood, while increasing levels of ""good"" cholesterol (high-density lipoprotein, or HDL). Sitagliptin is an oral diabetes medicine that helps control blood sugar levels. It works by regulating the levels of insulin your body produces after eating.",Juvisync is a combination medicine for people with type 2 diabetes who also have high cholesterol. You should not use Juvisync if you have liver disease or severe kidney disease.Do not use if you are in a state of diabetic ketoacidosis (call your doctor for treatment with insulin).,"confusion, memory problems; swelling, weight gain, urinating less than usual or not at all; severe pain in your upper stomach spreading to your back, nausea and vomiting, loss of appetite, fast heart rate; increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss; itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain, followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling.",simvastatin and sitagliptin,"Antidiabetic combinations, Antihyperlipidemic combinations"
466,Juxtapid,"Juxtapid is used along with diet changes (restriction of cholesterol and fat intake) and other treatments to reduce the amount of low-density lipoprotein (LDL) cholesterol ('bad cholesterol'), total cholesterol, and other fatty substances in the blood in people that have homozygous familial hypercholesterolemia (HoFH; an inherited condition in which cholesterol cannot be removed from the body normally). Juxtapid should not be used to decrease cholesterol levels in people who do not have HoFH.",You should not use Juxtapid if you have severeliver diseaseor a history of abnormal liver function tests. Do not use if you are pregnant.Birth control pillsmay be less effective if you vomit or havediarrhea. Ask your doctor about the best way to prevent pregnancy while you are taking Juxtapid.,"severe diarrhea; a light-headed feeling, like you might pass out; decreased urination; or; tiredness.",lomitapide,Miscellaneous antihyperlipidemic agents
467,Jynarque,Jynarqueis used to slow the decline in kidney function in adults who haveautosomal dominant polycystic kidney disease. Jynarqueis available only under a special program. You must be registered in the program and understand the risks and benefits of  Jynarque.,"Tell your doctor about all your current medicines and any you start or stop using.Many drugs can interact, and some drugs should not be used together. Samscais given to treat low levels of sodium in your blood, but can be dangerous if this condition is reversed too quickly. Tell your caregivers at once if you have problems with speech or muscle control, trouble swallowing, trouble moving your arms and legs, confusion, or seizure.","weakness, or a light-headed feeling (like you might pass out); irregular heartbeats; weight loss; dehydration--dizziness, confusion, feeling very thirsty, less urination; or; liver problems--loss of appetite, nausea, vomiting, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).",tolvaptan,
468,Jynneos,"Jynneos is used to help preventsmallpoxand Mpox (monkeypox) disease in adults 18 years and older who have been determined to be at high risk for smallpox or Mpox infection. Jynneos is given subcutaneously as 2 doses, 4 weeks apart. Like any vaccine, Jynneos may not protect against disease in every person.","Use Jynneos only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies. Jynneos can cause a severe allergic reaction. Medical treatment must be available to treat any anaphylactic reactions following administration. Get emergency medical help if you havesigns of an allergic reaction to Jynneos:hives; difficult breathing; swelling of your face, lips, tongue, or throat.","pain, redness, swelling, induration (hardening or thickening of tissue), and itching at the injection site; muscle pain; headache; fatigue/tiredness; nausea; chills.","smallpox and Mpox vaccine, live, non-replicating",Viral vaccines
469,Kadcyla,Kadcyla is a cancer medicine that interferes with the growth and spread of cancer cells in the body. Kadcyla is used to treat HER2-positivebreast cancer.,"Do not use Kadcyla if you are pregnant.It could harm the unborn baby. Use effective birth control, and tell your doctor if you become pregnant during treatment. You may need to have a negative pregnancy test before starting this treatment.","easy bruising, unusual bleeding, purple or red spots under your skin; coughing up blood or vomit that looks like coffee grounds; bloody or tarry stools; chest pain, wheezing, dry cough, feeling short of breath; unusual tiredness, feeling light-headed; pale skin, cold hands and feet; numbness, tingling, or burning pain in your hands or feet; sudden numbness or weakness (especially on one side of the body), severeheadache, slurred speech, balance problems; liver problems -loss of appetite, stomach pain (upper right side), dark urine, jaundice (yellowing of the skin or eyes); or; signs of tumor cell breakdown -confusion, weakness, muscle cramps,nausea,vomiting, fast orslow heart rate, decreased urination, tingling in your hands and feet or around your mouth.",ado-trastuzumab emtansine,HER2 inhibitors
470,Kalbitor,"Kalbitor (ecallantide) is used to treat attacks ofhereditary angioedema(an immune system disorder) to help reduce symptoms. Kalbitor is administered as three injections under the skin (subcutaneous injections) by a healthcare professional. This medicine is for use in adults and children at least 12 years old. In clinical trials EDEMA3 (NCT00262080) and EDEMA4 (NCT00457015) at 4 hours,patients treated with Kalbitor had reduced hereditary angioedema (HAE) symptomscompared to patients treated with placebo. HAE symptoms were measured using the Mean Symptom Complex Severity (MSCS) score and the Treatment Outcome Score (TOS),","You should not be treated with Kalbitor injection if you are allergic to ecallantide. Ecallantide can cause a serious allergic reaction (anaphylaxis) within 1 hour after receiving an injection. Symptoms include wheezing, cough, trouble breathing or swallowing, itching, hives, dizziness, fainting, or swelling in your face or throat. Tell your doctor if you have a history of any type of allergy. In an emergency situation, it may not be possible to tell your caregivers about your health conditions. Make sure any doctor caring for you afterward knows you have received this medicine.","headache; nausea,diarrhea; fever; stuffy nose, sore throat; or; skin reactions where the medicine was injected (redness, rash, itching, bruising, swelling).",ecallantide,Hereditary angioedema agents
471,Kanamycin (Injection),"Kanamycin injection is used to treat serious bacterial infections in many different parts of the body. This medicine is for short-term use only (usually 7 to 10 days). Kanamycin belongs to the class of medicines known as aminoglycoside antibiotics. It works by killing bacteria or preventing their growth. However, this medicine will not work for colds, flu, or other virus infections.","Your doctor will check your progress closely while you or your child are receiving this medicine. This will allow your doctor to see if the medicine is working properly and to decide if you or your child should continue to receive it. Blood, urine, hearing, and nerve tests may be needed to check for unwanted effects. If your or your child's symptoms do not improve within a few days, or if they become worse, check with your doctor.","Agitation; black, tarry stools; bloody or cloudy urine; bluish lips or skin; blurred vision; burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings; chest pain; chills; coma; confusion; continuing ringing or buzzing or other unexplained noise in the ears; cough; decreased urine output; depression; difficulty with breathing; difficulty with moving; dizziness or lightheadedness; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; drowsiness; dry mouth; feeling of constant movement of self or surroundings; feeling of fullness in the ears; fever; headache; irritability; lethargy; loss of balance; loss or change in hearing; muscle pain or stiffness; muscle twitching; nausea; not breathing; pain in lower back or side; pain in the joints; painful or difficult urination; pale skin; rapid weight gain; seizures; sensation of spinning; shakiness in the legs, arms, hands, or feet; shortness of breath; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stupor; sweating; swelling of the face, ankles, or hands; swollen glands; thirst; trembling or shaking of the hands or feet; trouble with hearing; troubled breathing with exertion; uncontrolled eye movements; unusual bleeding or bruising; unusual tiredness or weakness",kanamycin,Aminoglycosides
472,Kaolin,,,Check interactions; Compare alternatives; Drug class: antidiarrheals,,
473,Kaopectate (Oral),"Bismuth subsalicylate is used to treat diarrhea in adults and teenagers. It is also used to relieve the symptoms of an upset stomach, such as heartburn, indigestion, and nausea in adults and teenagers. This medicine is available without a prescription.","Check the labels of all over-the-counter (OTC), nonprescription, and prescription medicines you now take. If any contain aspirin or other salicylates, be especially careful. Using other salicylate-containing products while taking this medicine may lead to overdose. If you have any questions about this, check with your health care professional. For diabetic patients:","Anxiety; any loss of hearing; confusion; constipation (severe); diarrhea (severe or continuing); difficulty in speaking or slurred speech; dizziness or lightheadedness; drowsiness (severe); fast or deep breathing; headache (severe or continuing); increased sweating; increased thirst; mental depression; muscle spasms (especially of face, neck, and back); muscle weakness; nausea or vomiting (severe or continuing); ringing or buzzing in ears (continuing); stomach pain (severe or continuing); trembling; uncontrollable flapping movements of the hands (especially in elderly patients) or other uncontrolled body movements; vision problems",bismuth subsalicylate,Antidiarrheals
474,Kapvay,Kapvay is a prescription medicine supplied as an extended-release tablet and is used to treatattention deficit hyperactivity disorder (ADHD). Your doctor may prescribe Kapvay alone or together with certain other ADHD medicines.,"Use Kapvay only as directed. Tell your doctor if you use other medicines or have other medical conditions orallergies. Before you take Kapvay, tell your doctor if you have heart disease or severe coronary artery disease, a heart rhythm disorder, slow heartbeats, low blood pressure, a history of heart attack or stroke, kidney disease, or if you have ever had an allergic reaction to a clonidine transdermal skin patch (Catapres TTS).","severe chest pain, shortness of breath, irregular heartbeats; a veryslow heart rate; or; a light-headed feeling, like you might pass out.",clonidine (oral),"Antiadrenergic agents, centrally acting"
475,Kayexalate,"Kayexalate binds itself to potassium in your digestive tract. This helps prevent your body from absorbing too much potassium. Kayexalate is used to treat high levels of potassium in the blood, also calledhyperkalemia.",You should not use  Kayexalate if you havelow potassiumlevels or abowel obstruction. Do not give this medicine orally (by mouth) to a newborn baby.,"stomach pain, rectal pain; severeconstipation, severe stomach pain, bloating; fever, chills,vomiting; confusion, thinking problems, feeling irritable; low potassium--leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; low calcium levels--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes); or; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds.",sodium polystyrene sulfonate,Cation exchange resins
476,Keflex,"Keflex is a cephalosporin (SEF a low spor in)antibiotic. It works by fighting bacteria in your body. Keflex is used to treat infections caused by bacteria, including upper respiratory infections,ear infections, skin infections,urinary tract infectionsand bone infections.","You should not use Keflex if you are allergic to cephalexin or to similarantibiotics, such asCeftin,Cefzil,Omnicef, and others. Tell your doctor if you are allergic to any drugs, especiallypenicillinsor other antibiotics. Tell your doctor if you have kidney disease, liver disease, a stomach or intestinal disorder such as colitis, or diabetes.","severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or; pain in your side or lower back, painful urination.",cephalexin,First generation cephalosporins
477,Kenalog,"Kenalog contains triamcinolone, a potent corticosteroid. Triamcinolone reduces the actions of chemicals in the body that cause inflammation. Kenalog topical is used to treat the inflammation caused by a number of conditions such as allergic reactions, eczema, and psoriasis. The dental paste form of triamcinolone (Kenalog Orabase) is used to treat mouth ulcers.","Use Kenalog exactly as directed on the label, or as it has been prescribed by your doctor. Do not use the medication in larger amounts or for longer than recommended. Do not cover treated skin areas with a bandage or other covering unless your doctor has told you to. If you are treating the diaper area of a baby, do not use plastic pants or tight-fitting diapers. Covering the skin that is treated with Kenalog can increase the amount of the drug your skin absorbs, which may lead to unwanted side effects. Follow your doctor's instructions.","blurred vision, or seeing halos around lights; uneven heartbeats; mood changes; sleep problems (insomnia); weight gain, puffiness in your face; or; feeling tired.",triamcinolone topical,Topical steroids
478,Kenalog-40,"Kenalog-40 is a long-acting corticosteroid injection for intramuscular (into the muscle) or intra-articular (into the joints) use. It may be used to treat many different types of inflammatory conditions, including severe allergic reactions, skin disorders (including those caused by autoimmune disorders), severe colitis, inflammation of the joints or tendons, blood cell disorders, inflammatory eye disorders, lung disorders, and problems caused by low adrenal gland hormones. Kenalog-40 contains triamcinolone acetonide 40mg/mL. Kenalog-40 was FDA-approved on February 1, 1965.",You should not be treated with Kenalog-40 if you are allergic to it. You may not be able to receive Kenalog-40 if you have an infection or a condition called idiopathic thrombocytopenic purpura (ITP).,"(after injection into a joint space) increased pain or swelling, joint stiffness, fever, and general ill feeling; blurred vision, tunnel vision, eye pain, or seeing halos around lights; unusual changes in mood or behavior; swelling, rapid weight gain, feeling short of breath; stomach cramps, vomiting, diarrhea, bloody or tarry stools, rectal irritation; sudden numbness or weakness (especially on one side of the body); a seizure (convulsions); severe headache, blurred vision, pounding in your neck or ears; increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; signs of low adrenal gland hormones--flu-like symptoms, headache, depression, weakness, tiredness, diarrhea, vomiting, stomach pain, craving salty foods, and feeling light-headed.",triamcinolone acetonide 40mg/mL,Glucocorticoids
479,Keppra,"Keppra is an anti-epileptic drug, also called ananticonvulsant. Keppra is a prescription medicine used to treat certain types of seizures in people withepilepsy, includingpartial onset seizures, myoclonic seizures, andtonic-clonic seizures.","Do not stop using Keppra without first talking to your doctor, even if you feel fine. You may have increased seizures if you stop using this medicine suddenly. You may need to use less and less before you stop the medication completely. Some people have thoughts about suicide when first taking this medicine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.","unusual changes in mood or behavior (unusual risk-taking behavior, being irritable or talkative); confusion, hallucinations, extreme drowsiness, feeling very weak or tired; loss of balanceor coordination, problems with walking or movement; a skin rash, no matter how mild; easy bruising, unusual bleeding; or; fever, chills, weakness, or other signs of infection.",levetiracetam (oral/injection),Pyrrolidine anticonvulsants
480,Keppra XR (Oral),"Levetiracetam is used alone or together with other medicines to help control certain types of seizures (eg, partial seizures, myoclonic seizures, or tonic-clonic seizures) in the treatment of epilepsy. This medicine cannot cure epilepsy and will only work to control seizures for as long as you continue to use it. This medicine is available only with your doctor's prescription.","It is very important that your doctor check your or your child's progress at regular visits, especially for the first few months you or your child are using this medicine. This is to see if the medicine is working properly and to allow for a change in the dose. Blood tests may be needed to check for any unwanted effects. It is important to tell your doctor if you become pregnant while using this medicine. Your doctor may want you to join a pregnancy registry for patients taking a seizure medicine.","Aggressive or angry; anxiety; change in personality; chills; cough; crying; deep or fast breathing with dizziness; delusions of persecution, mistrust, suspiciousness, or combativeness; diarrhea; dry mouth; false or unusual sense of well-being; feeling of unreality; fever; general feeling of discomfort or illness; headache; hoarseness; irregular heartbeat; irritability; joint pain; loss of appetite; lower back or side pain; mental depression; muscle aches and pains; nausea; numbness of the feet, hands, and around the mouth; painful or difficult urination; quick to react or overreact emotionally; rapidly changing moods; restlessness; sense of detachment from self or body; shaking; shivering; sleepiness or unusual drowsiness; sore throat; stuffy or runny nose; sweating; trouble sleeping; unusual tiredness or weakness; vomiting",levetiracetam,Pyrrolidine anticonvulsants
481,Kerendia,"Kerendia (finerenone) is a  FDA approved tablet taken once a day by adults who have chronic kidney disease from type 2 diabetes.  Kerendia is used to slow down kidney damage, and also to reduce the risk ofkidney failure, cardiovascular death, heart attack and being hospitalized forheart failure. Kerendia is from the class of meds called mineralocorticoid receptor antagonists. Chronic kidney disease (CKD) is when your kidneys are not working properly and they work less effectively over time. Havingtype 2 diabetesincreases your chances of having chronic kidney disease. Often type 2 diabetics do not have any symptoms in the early stages of CKD and they might not realize they have it until it is advanced and they may need to have dialysis or kidney transplant to survive. If you have diabetes it is important to get your kidneys checked regularly by having a blood and urine test, if you have signs of reduced kidney function or the start of CKD early treatment can help prevent you having extra health problems.",,"high blood potassium--nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; or; low blood sodium--headache, confusion, problems with thinking or memory, weakness, feeling unsteady.",finerenone,Aldosterone receptor antagonists
482,Kesimpta,"Kesimpta is used to treatrelapsing forms of multiple sclerosis(MS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults. It is self-administered once a month by subcutaneous injection after an initial dosing period. Exactly how Kesimpta works is unknown, but it is thought to involve binding to CD20, a protein present on pre-B and mature B lymphocytes (lymphocytes are a type of white blood cell that are more abundant in people with MS). Once bound to the B-cell, Kesimpta triggers the destruction of the cell. Clinical trials report that Kesimpta slows MS progression and reduces the rate of relapse, but it is not a cure. Kesimpta belongs to the drug class called CD20-directed cytolytic antibodies. It may also be called a selective immunosuppressant.",,"upper respiratory tract infections with symptoms such as a sore throat, runny nose, and headache; headache.",ofatumumab,"CD20 monoclonal antibodies, Selective immunosuppressants"
483,Ketalar,Ketalar is used to put you to sleep forsurgeryand to prevent pain and discomfort during certain medical tests or procedures. Ketalar may also be used for purposes not listed in this medication guide.,"Tell your caregivers if you have hallucinations or unusual thoughts while waking up from anesthesia. You should not be treated with Ketalar if you are allergic to it, or if you have untreated or uncontrolled hypertension (high blood pressure).","painful or difficult urination, increased urination, loss of bladder control, blood in your urine; a light-headed feeling, like you might pass out; slow heart rate, weak or shallow breathing; or; jerky muscle movements that may look like convulsions.",ketamine,General anesthetics
484,Ketamine,"Ketamine is used as an anesthetic for surgery, a treatment for depression, and is a drug of abuse. Ketamine is FDA-approved as an anesthetic to put you to sleep forsurgeryand to help prevent pain and discomfort.  Ketamine fordepressionis an off-label use, and its use for depression is currently being researched in clinical trials. It is also a drug of abuse that is used illegally recreationally for its hallucinogenic properties and is known to be a “date rape” drug as it causes short-term memory loss. Ketamine is not anopioid(narcotic); it is an NMDA receptor antagonist, which means it blocks the N-methyl-D-aspartate (NMDA) neurotransmitter in the brain.","Emergence reactionsTell your caregivers if you have hallucinations or unusual thoughts while waking up from anesthesia. Hemodynamic instabilityTemporary increases in blood pressure, heart rate, and cardiac index may be observed during administration. Vital signs and cardiac function should be monitored during administration.","slow heart rate, weak or shallow breathing; or; a light-headed feeling, like you might pass out; jerky muscle movements that may look like convulsions; painful or difficult urination, increased urination, loss of bladder control, blood in your urine.",Ketamine,General anesthetics
485,Ketoconazole,Ketoconazoleis an antifungal medication that is used to treat certain infections caused by fungus. ketoconazole should be used only when you cannot use other antifungal medications.Ketoconazole can cause serious harm to your liver that may result in liver transplant or cause death.,"ketoconazole should be used only when you cannot use other antifungal medications.Ketoconazole can cause serious harm to your liver that may result in liver transplant or cause death. Call your doctor at once if you have any signs of liver damage, such as nausea, vomiting, stomach pain, fever, tiredness, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes).","fast or pounding heartbeats, fluttering in your chest,shortness of breath, and sudden dizziness (like you might pass out); unusual weakness or tiredness, dizziness, nausea, and vomiting; or; liver problems--upper stomach pain, fever, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes).",ketoconazole,Azole antifungals
486,Ketoconazole topical,"Ketoconazole topical (for the skin) is an antifungal medicine used to treat infections such asathlete's foot,jock itch,ringworm, and seborrhea (dry, flaking skin ordandruff). Ketoconazole topical is also used to treat afungal infectioncalled pityriasis, which causes scaly discolored patches on the skin of the neck, chest, arms, or legs.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. You should not use  ketoconazole topical if you are allergic to ketoconazole.","burning, stinging, or severe irritation after using  ketoconazole topical; redness, pain, or oozing of treated skin; or; shortness of breath.",ketoconazole topical,Topical antifungals
487,Ketoprofen,Ketoprofen is a nonsteroidal anti-inflammatory drug (NSAID) that is used to treat signs and symptoms caused by certain types of arthritis and for short-term pain relief. Ketoprofenimmediate-release capsulecan also be used to treat menstrual pain.,"Ketoprofen can increase your risk of fatal heart attack or stroke.Do not use  ketoprofen just before or after heart bypass surgery (coronary artery bypass graft, or CABG).Ketoprofen may also cause stomach or intestinal bleeding, which can be fatal. Ketoprofen can increase your risk of fatal heart attack or stroke.Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG).","diarrhea, gas, heartburn, flu-like symptoms; a skin rash, no matter how mild; high blood pressure--severe headache, blurred vision, pounding in your neck or ears; kidney or heart problems--swelling, urinating less, rapid weight gain, feeling tired or short of breath; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems--loss of appetite, nausea, vomiting, stomach pain (upper right side), itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.",ketoprofen,Nonsteroidal anti-inflammatory drugs
488,Ketorolac ophthalmic,Ketorolac is a nonsteroidal anti-inflammatory drug (NSAID) that works by reducing hormones that cause inflammation and pain in the body. Ketorolac ophthalmic (for the eye) is used to relieve eye itching caused by seasonal allergies.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. You should not use  ketorolac ophthalmic if you are allergic to ketorolac. Tell your doctor if you are allergic to any other NSAIDs, such as aspirin,ibuprofen(Advil, Motrin),naproxen(Aleve),celecoxib,diclofenac,indomethacin,meloxicam, and others.","severe burning, stinging, or itching of your eyes; a wound that will not heal; eye pain, redness, or watering; vision changes, increased sensitivity to light; white patches on your eyes; or; crusting or drainage from your eyes.",ketorolac ophthalmic,Ophthalmic anti-inflammatory agents
489,Ketotifen ophthalmic,"Ketotifen ophthalmic (for the eyes) is used in adults and children at least 3 years old to temporarily treatitchingof the eyes caused byallergyto dust, pollen, grass, animals, or other allergens. Ketotifen ophthalmic may also be used for purposes not listed in this medication guide.","Follow all directions on the label and package. Use exactly as directed. You should not use ketotifen ophthalmic if you are allergic to it, or if you have:","eye pain or changes in vision; eye itching that gets worse or lasts longer than 72 hours; severe burning, stinging, or eye irritation after using the eye drops; or; signs of eye infection--swelling, redness, severe discomfort, crusting or drainage.",ketotifen ophthalmic,Ophthalmic antihistamines and decongestants
490,Kevzara,"Kevzara (sarilumab) is used to treatrheumatoid arthritis(RA) andpolymyalgia rheumatica(PMR) in certain adults, and also active polyarticularjuvenile idiopathic arthritis(pJIA) to help reduce pain, stiffness, swelling, and other symptoms. Kevzara works by blocking the effects of a protein called interleukin-6 (IL-6), which is involved in causing inflammation, by blocking IL-6 reduces the inflammatory process and improves symptoms. Kevzara belongs to the class of medicines known as interleukin-6 receptor antagonists (also called IL-6 inhibitors) and is a type of biologic.","Kevzara affects your immune system. You may get infections more easily, even serious or fatal infections. Tell your doctor if you have a fever, chills, tiredness, cough,diarrhea, stomach pain,weight loss, skin sores, or painful urination. Kevzara may cause you to have a tear in your stomach or intestines. This is more likely if you havediverticulitisor astomach ulcer, or if you also take steroids,methotrexate, or an NSAID (nonsteroidal anti-inflammatory drug). Call your doctor right away if you have a fever and ongoing stomach pain.","fever, chills, sweating, body aches; cough with bloody mucus; feeling short of breath; diarrhea, stomach pain, weight loss; sores on your skin; pain or burning when you urinate; or; feeling very tired.",sarilumab,"Antirheumatics, Interleukin inhibitors"
