Drug Name,Drug Info,Usage,Warnings,Side Effects,Drug Interactions Link
Kytril,"
Generic name: granisetron (oral) [ gra-NIS-e-tron ]
Drug class: 5HT3 receptor antagonists",Kytril blocks the actions of chemicals in the body that can triggernausea and vomiting. Kytril is used to preventnauseaand vomiting that may be caused by medicine to treat cancer (chemotherapy or radiation).,"You should not use Kytril if you are allergic to granisetron or to similar medicines such as dolasetron (Anzemet), ondansetron (Zofran), or palonosetron (Aloxi). Before taking Kytril, tell your doctor if you have liver disease, a heart rhythm disorder, an electrolyte imbalance (such as low levels of potassium or magnesium in your blood), or a personal or family history of Long QT syndrome.","headachewith chest pain and severedizziness, fainting, fast or pounding heartbeats;; increased blood pressure- severe headache, buzzing in your ears,anxiety, confusion, shortness of breath; or; high levels of serotonin in the body-agitation, hallucinations, fever,fast heart rate, overactive reflexes, nausea, vomiting,diarrhea, loss of coordination, fainting.","https://www.drugs.com/drug-interactions/granisetron,kytril.html"
Kyzatrex,"
Generic name: testosterone oral [ tes-TOS-ter-one ]
Drug class: Androgens and anabolic steroids","Kyzatrex (testosterone) is a liquid filled capsule used to treat symptoms of low testosterone in men who have hypogonadism (a condition in which the body does not produce enough natural testosterone). Kyzatrex is used only for men with low testosterone levels caused by certain medical conditions, including disorders of the testicles, pituitary gland, (a small gland in the brain), or hypothalamus (a part of the brain) that cause hypogonadism.","You should not be treated with Kyzatrex if you haveprostate cancer, male breast cancer, or low testosterone levels due to getting older. Kyzatrex can increase your blood pressure, which can increase your risk ofheart attack, stroke, or death. You may need to stop using this medicine or start taking blood pressure medication.","pain or swelling in your breasts;; sleep apnea (breathing stops during sleep);; unusual changes in mood or behavior, new or worsening depression, suicidal thoughts or actions;; heart problems- swelling, rapid weight gain, feeling short of breath;; liver problems- loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes);; signs of a blood clot in the lung- chest pain, suddencoughor shortness of breath, wheezing, rapid breathing, coughing up blood;; signs of a blood clot deep in the body- pain, swelling or warmth in your leg; or; signs of an enlarged prostate- increased urination, a weak stream of urine, an urgent need to urinate, or loss of bladder control.","https://www.drugs.com/drug-interactions/testosterone,kyzatrex.html"
Labetalol,"
Generic name: labetalol (oral/injection) [ la-BAY-ta-lol ]
Brand names: Trandate, Normodyne
Dosage forms: intravenous solution (100 mg/100 mL-NaCl 0.72%; 200 mg/200 mL-D5%; 200 mg/200 mL-NaCl 0.72%; 300 mg/300 mL-NaCl 0.72%; 5 mg/mL), 
... show all 2 dosage forms

oral tablet (100 mg; 200 mg; 300 mg)

Drug class: Non-cardioselective beta blockers",Labetalol is a beta-blocker that is used to treat hypertension (high blood pressure). Labetaloloralis sometimes given with other blood pressure medications. Labetalolinjectionis used when hypertension is severe.,"Use only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies. You should not use labetalol if you are allergic to it, or if you have:","a light-headed feeling, like you might pass out;; slow heart rate, weak pulse, fainting, slow breathing (breathing may stop);; shortness of breath(even with mild exertion), swelling, rapid weight gain;; severe headache, blurred vision, pounding in your neck or ears; or; liver problems--loss of appetite, stomach pain (upper right side), flu-like symptoms, itching, dark urine, jaundice (yellowing of the skin or eyes).",https://www.drugs.com/drug-interactions/labetalol.html
Lacosamide: Package Insert / Prescribing Info,"
Package insert / product label
Dosage form: tablet, film coated
Drug class: Miscellaneous anticonvulsants",,,,
Lactulose,"
Generic name: lactulose (oral) [ LAK-too-lose ]
Brand names: Constulose, Generlac, Kristalose, Chronulac, Cephulac, 
... show all 11 brands

Constilac, Cholac, Duphalac, Evalose, Heptalac, Enulose

Dosage forms: oral powder for reconstitution (10 g; 20 g), oral syrup (10 g/15 mL), oral and rectal liquid (10 g/15 mL)
Drug class: Laxatives","Lactulose is used to treat chronicconstipation. Lactulose is sometimes used to treat or prevent certain conditions of the brain that are caused by liver failure. These conditions can lead to confusion, problems with memory or thinking, behavior changes, tremors, feeling irritable, sleep problems, loss of coordination, and loss of consciousness.",Use only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies. You should not use lactulose if you are on a special diet low in galactose (milk sugar).,"bloating, gas;; stomach pain;; diarrhea; or; nausea,vomiting.",https://www.drugs.com/drug-interactions/lactulose.html
Lamictal,"
Generic name: lamotrigine [ la-MOE-tri-jeen ]
Other brand names of lamotrigine include: Lamictal, Lamictal ODT, Lamictal XR
Drug class: Triazine anticonvulsants","Lamictal is an anti-epileptic medication, also called an anticonvulsant. Lamictal is used alone or with other medications to treat epilepticseizuresin adults and children. Lamictal is also used to delay mood episodes in adults withbipolar disorder(manicdepression).","Lamictal may cause a severe or life-threateningskin rash, especially in children and in people who take a very high starting dose, or those who also takevalproic acid(Depakene) or divalproex (Depakote).Seek emergency medical attention if you have a skin rash, hives, blistering, peeling, or sores in your mouth or around your eyes. Call your doctor at once if you have signs of other serious side effects, including: fever, swollen glands, severe muscle pain, bruising or unusual bleeding, yellowing of your skin or eyes,headache, neck stiffness,vomiting, confusion, or increased sensitivity to light.","fast, slow, or pounding heartbeats or fluttering in your chest;; chest pain, shortness of breath;; fever, swollen glands, weakness, severe muscle pain;; any skin rash, especially with blistering or peeling;; painful sores in your mouth or around your eyes;; headache, neck stiffness, increased sensitivity to light,nausea, vomiting, confusion, drowsiness;; jaundice(yellowing of the skin or eyes); or; pale skin, cold hands and feet, easy bruising, unusual bleeding.","https://www.drugs.com/drug-interactions/lamotrigine,lamictal.html"
Lamotrigine,"
Generic name: lamotrigine [ la-MOE-tri-jeen ]
Brand names: LaMICtal, LaMICtal ODT, LaMICtal XR, Subvenite, LaMICtal CD, 
... show all 18 brands

LaMICtal Starter Kit (Blue), LaMICtal Starter Kit (Green), LaMICtal Starter Kit (Orange), LaMICtal ODT Patient Titration Kit (Blue), LaMICtal ODT Patient Titration Kit (Orange), LaMICtal ODT Patient Titration Kit (Green), LaMICtal XR Patient Titration Kit (Blue), LaMICtal XR Patient Titration Kit (Orange), LaMICtal XR Patient Titration Kit (Green), LamoTRIgine Starter Kit (Blue) obsolete, Subvenite Blue Starter Kit, Subvenite Green Starter Kit, Subvenite Orange Starter Kit

Dosage forms: oral tablet ((blue dose pack) 25 mg, (green dose pack) 25 mg-100 mg, (orange dose pack) 25 mg-100 mg, 
... show all 24 dosage forms

100 mg, 150 mg, 200 mg, 25 mg), oral tablet, disintegrating ((blue dose pack) 25 mg-50 mg, (green dose pack) 50 mg-100 mg, (orange dose pack) 25 mg-50 mg-100 mg, 100 mg, 200 mg, 25 mg, 50 mg), oral tablet, dispersible (2 mg; 25 mg; 5 mg), oral tablet, extended release ((blue dose pack) 25 mg-50 mg, (green dose pack) 50 mg-100 mg-200 mg, (orange dose pack) 25 mg-50 mg-100 mg, 100 mg, 200 mg, 25 mg, 250 mg, 300 mg, 50 mg)

Drug class: Triazine anticonvulsants","Lamotrigine is an anti-epileptic medication, also called an anticonvulsant. Lamotrigine is used alone or with other medications to treat epileptic seizures in adults and children. Lamotrigine is also used to delay mood episodes in adults withbipolar disorder(manic depression).","Lamotrigine may cause a severe or life-threatening skin rash, especially in children and in people who take a very high starting dose, or those who also takevalproic acid(Depakene) or divalproex (Depakote).Seek emergency medical attention if you have a skin rash, hives, blistering, peeling, or sores in your mouth or around your eyes. Call your doctor at once if you have signs of other serious side effects, including: fever, swollen glands, severe muscle pain, bruising or unusual bleeding, yellowing of your skin or eyes, headache, neck stiffness, vomiting, confusion, or increased sensitivity to light.","fast, slow, or pounding heartbeats or fluttering in your chest;; chest pain,shortness of breath;; fever, swollen glands, weakness, severemuscle pain;; any skin rash, especially with blistering or peeling;; painful sores in your mouth or around your eyes;; headache, neck stiffness, increased sensitivity to light, nausea, vomiting, confusion,drowsiness;; jaundice (yellowing of the skin or eyes); or; pale skin, cold hands and feet, easy bruising, unusual bleeding.",https://www.drugs.com/drug-interactions/lamotrigine.html
Lanadelumab,"
Generic name: Lanadelumab [ LAN-a-DEL-ue-mab ]
Brand name: Takhzyro
Dosage forms: Subcutaneous injection. Single-dose prefilled syringe (150 mg/mL, 300 mg/2 mL), Single-dose vial (300 mg/2 mL)
Drug class: Hereditary angioedema agents","Lanadelumab (Takhzyro) is used to prevent hereditaryangioedema(HAE), lanadelumab helps to reduce the number and severity of hereditary angioedema attacks. Lanadelumab works by lowering the activity of a protein called kallikrein which helps to prevent the swelling and related symptoms of HAE. Lanadelumab is usually given every two weeks as an injection under the skin using a ready-to-use, prefilled syringe. The dose depends on age and can change to every 4 weeks if symptoms have improved. Hereditary angioedema is a rare condition that causes rapid attacks of swelling in areas under the skin around the face, arms, legs, and also the throat, which can be life-threatening if it blocks off the airways. People with hereditary angioedema have high levels of a protein called bradykinin, which makes fluid leak fluid into the surrounding tissue, causing swelling attacks.  Lanadelumab-flyo works by blocking another protein in the blood called 'kallikrein', which in turn reduces the level of bradykinin, which helps to prevent the swelling and symptoms of angioedema.",,"injection site reactions (pain, redness, and bruising); upper respiratory infections; headache; rash; dizziness; diarrhea; muscle aches.",https://www.drugs.com/drug-interactions/lanadelumab.html
Lansoprazole,"
Generic name: lansoprazole [ lan-SOE-pra-zol ]
Brand names: FIRST Lansoprazole, Prevacid
Drug class: Proton pump inhibitors","Lansoprazoleis a proton pump inhibitor. Lansoprazole decreases the amount of acid produced in the stomach. Lansoprazole is used to treat and prevent stomach and intestinal ulcers,erosive esophagitis(damage to the esophagus from stomach acid), and other conditions involving excessive stomach acid such asZollinger-Ellison syndrome.","Lansoprazole can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine. This medicine can causediarrhea, which may be a sign of a new infection. Call your doctor if you have diarrhea that is watery or has blood in it.","severe stomach pain, diarrhea that is watery or bloody;; new or unusual pain in your wrist, back, hip, or thigh;; a seizure (convulsions);; kidney problems- fever, nausea, little or no urination, blood in your urine, swelling, rapid weight gain;; low magnesium- dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or; new or worsening symptoms of lupus- joint pain, and askin rashon your cheeks or arms that worsens in sunlight.",https://www.drugs.com/drug-interactions/lansoprazole.html
Lantus,"
Generic name: insulin glargine [ IN-su-lin-GLAR-gine ]
Other brand names of insulin glargine include: Lantus, Lantus SoloStar
Drug class: Insulin",Lantus is a man-made form of a hormone (insulin) that is produced in the body. Insulin is a hormone that works by lowering levels of glucose (sugar) in the blood. Insulin glargine is a long-acting insulin that starts to work several hours after injection and keeps working evenly for 24 hours. Lantus is used to improve blood sugar control in adults and children withdiabetes mellitus.,"You should not use Lantus if you are having an episode of hypoglycemia (low blood sugar), or if you are in a state of diabetic ketoacidosis (call your doctor for treatment). Never share a Lantus SoloStar pen or cartridge with another person. Sharing injection pens or cartridges can allow disease such as hepatitis or HIV to pass from one person to another.","rapid weight gain, swelling in your feet or ankles;; shortness of breath; or; low blood potassium- leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling.","https://www.drugs.com/drug-interactions/insulin-glargine,lantus.html"
Lasix,"
Generic name: furosemide [ fur-OH-se-mide ]
Drug class: Loop diuretics","Lasix is a loop diuretic (water pill) that prevents your body from absorbing too much salt, causing it to be passed in your urine. Lasix treatsfluid retention(edema) in people with congestiveheart failure, liver disease, or kidney disorders such as nephrotic syndrome. Lasix is also used to treathigh blood pressure(hypertension).",You should not use Lasix if you are unable to urinate. Using more than your recommended dose will not make this medicine more effective. High doses of furosemide may cause irreversiblehearing loss.,"a light-headed feeling, like you might pass out;; ringing in your ears, hearing loss;; muscle spasms or contractions;; pale skin, easy bruising, unusual bleeding;; high blood sugar- increased thirst, increased urination, dry mouth, fruity breath odor;; kidney problems- swelling, urinating less, feeling tired or short of breath; signs of liver or pancreas problems- loss of appetite, upper stomach pain (that may spread to your back),nauseaorvomiting, dark urine,jaundice(yellowing of the skin or eyes); or; signs of an electrolyte imbalance- increased thirst or urination,constipation, muscle weakness, leg cramps, numbness or tingling, feeling jittery, fluttering in your chest.","https://www.drugs.com/drug-interactions/furosemide,lasix.html"
Latanoprost (Ophthalmic),"
Generic name: latanoprost [ la-TAN-oh-prost ]
Brand names: Xalatan, Xelpros
Drug class: Ophthalmic glaucoma agents",Latanoprost eye drops is used to treat certain kinds of glaucoma. It is also used to treat a condition called hypertension of the eyealone or together with other medicines to lower pressure inside the eye that is caused by open-angle glaucoma or ocular (eye) hypertension. Latanoprost appears to work by increasing the outflow of fluid from the eye. This lowers the pressure in the eye. This medicine is available only with your doctor's prescription.,"It is very important that your doctor check your progress at regular visitsto make sure this medicine is working properly and to check for unwanted effects. If itching, redness, swelling, or other signs of eye or eyelid irritation occur, check with your doctor. These signs may mean that you are allergic to this medicine.",Eye pain or stinging,
Latuda,"
Generic name: lurasidone [ loo-RAS-i-done ]
Drug class: Atypical antipsychotics",Latuda is anantipsychotic medicine. It works by changing the effects of chemicals in the brain. Latuda is used to treatschizophreniain adults and teenagers who are at least 13 years old.,Latuda is not approved for use in psychotic conditions related todementia. Lurasidone may increase the risk of death in older adults with dementia-related psychosis. Some young people have thoughts about suicide when taking Latuda. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.,"any new or unusual muscle movements you cannot control;; a light-headed feeling, like you might pass out;; a seizure (convulsions);; (in women) irregular menstrual periods, breast or vaginal changes, nipple discharge;; (in men) breast swelling,impotence;; trouble swallowing;; manic episodes- racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative;; low white blood cell counts- fever, chills, mouth sores, skin sores, sore throat, cough, trouble breathing;; high blood sugar- increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or; severe nervous system reaction- very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out.","https://www.drugs.com/drug-interactions/lurasidone,latuda.html"
Leflunomide,"
Generic name: leflunomide [ le-FLOO-noe-mide ]
Brand name: Arava
Dosage form: oral tablet (10 mg; 20 mg)
Drug classes: Antirheumatics, Selective immunosuppressants",Leflunomide affects the immune system and reduces swelling and inflammation in the body. Leflunomide is used to treat the symptoms ofrheumatoid arthritis.,"Do not use leflunomide if you are pregnant, and stop taking  leflunomide if you think you might be pregnant.Usebirth controlto prevent pregnancy while you are taking leflunomide, and until you complete a ""drug elimination"" procedure. Leflunomide can cause severe or fatal liver damage.Tell your doctor if you have a history ofliver diseaseor if you also use other medicines such as: pain or arthritis medicine (including aspirin, Tylenol, and Advil/Motrin), medicines to treattuberculosisor other infections, seizure medication, hormonal birth control or hormone replacement therapy, chemotherapy, cholesterol-lowering medicine, heart medication, or blood pressure medicine.","signs of infection--sudden weakness or ill feeling, fever, chills,sore throat, mouth sores, red or swollen gums, trouble swallowing;; sudden chest pain or discomfort, wheezing, dry cough, feeling short of breath;; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin;; numbness, tingling, or burning pain in your hands or feet;; liver problems--nausea, upper stomach pain, itching, tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; severe skin reaction--fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain, followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling.",https://www.drugs.com/drug-interactions/leflunomide.html
Lenvatinib,"
Generic name: lenvatinib [ len-VA-ti-nib ]
Brand names: Lenvima, Lenvima 8 mg daily-dose, Lenvima 20 mg daily-dose, Lenvima 12 mg daily-dose
Dosage form: oral capsule (10 mg; 12 mg daily-dose; 14 mg daily-dose; 18 mg daily-dose; 20 mg daily-dose; 24 mg daily-dose; 4 mg; 8 mg daily-dose)
Drug classes: Multikinase inhibitors, VEGF/VEGFR  inhibitors",Lenvatinibis a kinase inhibitor used to treat certain types of cancer. Kinase inhibitors are enzyme inhibitors that blocks the action of one or more protein kinases. Lenvatinib is used to treatthyroid cancer. It is usually given after radioactive iodine has been tried without success.,"Some people taking lenvatinib have developed a perforation (a hole or tear) or a fistula (an abnormal passageway) within the stomach or intestines.Get emergency medical help if you have severe stomach pain, or if you feel like you are choking and gagging when you eat or drink. Call your doctor at once if you have signs of serious side effects, including:severe chest pain, shortness of breath, swelling in your ankles, numbness or weakness, confusion, severeheadache, problems with speech or vision, seizure (convulsions), unusual bleeding, coughing up blood, dark urine, clay-colored stools, orjaundice(yellowing of the skin or eyes).","severe diarrhea;; headache, confusion, change in mental status, vision loss, seizure (convulsions);; pain or burning when you urinate, urinating less;; increased protein in your urine (proteinuria);; irregular heartbeats;; unusual bleeding (nosebleeds,heavy menstrual bleeding), or any other bleeding that will not stop;; severe headache, blurred vision, pounding in your neck or ears;; jaw pain or numbness, red or swollen gums, loose teeth, or slow healing after dental work;; signs of stomach bleeding- bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;; heart problems- chest pain, pain in your jaw or shoulder, swelling, rapid weight gain, feeling short of breath;; signs of a blood clot- sudden numbness or weakness, problems with vision or speech;; liver problems- dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; low calcium level- muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes).",https://www.drugs.com/drug-interactions/lenvatinib.html
Lenvima,"
Generic name: lenvatinib [ len-VA-ti-nib ]
Drug classes: Multikinase inhibitors, VEGF/VEGFR  inhibitors",Lenvima is a kinase inhibitor used to treat certain types of cancer. Kinase inhibitors are enzyme inhibitors that blocks the action of one or more protein kinases which interferes with the growth and spread of cancer cells in the body. Lenvima is used to treatthyroid cancer. It is usually given after radioactive iodine has been tried without success.,"Some people taking Lenvima have developed a perforation (a hole or tear) or a fistula (an abnormal passageway) within the stomach or intestines.Get emergency medical help if you have severe stomach pain, or if you feel like you are choking and gagging when you eat or drink. Call your doctor at once if you have signs of serious side effects, including:severe chest pain, shortness of breath, swelling in your ankles, numbness or weakness, confusion, severeheadache, problems with speech or vision, seizure (convulsions), unusual bleeding, coughing up blood, dark urine, clay-colored stools, orjaundice(yellowing of the skin or eyes).","severe diarrhea;; headache, confusion, weakness, vision loss, seizure (convulsions);; pain or burning when you urinate, urinating less;; increased protein in your urine (proteinuria);; irregular heartbeats;; unusual bleeding (nosebleeds,heavy menstrual bleeding), or any other bleeding that will not stop;; severe headache, blurred vision, pounding in your neck or ears;; jaw pain or numbness, red or swollen gums, loose teeth, or slow healing after dental work;; signs of stomach bleeding- bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;; heart problems- chest pain, pain in your jaw or shoulder, swelling in your lower legs, feeling short of breath;; signs of a blood clot- sudden numbness or weakness, pain in your arms or back, problems with vision or speech;; liver problems- dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; low calcium level- muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes).","https://www.drugs.com/drug-interactions/lenvatinib,lenvima.html"
Leqembi,"
Pronunciation: leh-kem’-bee
Generic name: lecanemab
Dosage form: injection for infusion
Drug class: Miscellaneous central nervous system agents",,,"infusion-related reactions, which can be serious; headache; swelling in areas of the brain, with or without small bleeding spots in or on the brain's surface (ARIA).","https://www.drugs.com/drug-interactions/lecanemab,leqembi.html"
Letrozole,"
Generic name: letrozole [ LET-roe-zol ]
Brand name: Femara
Dosage form: oral tablet (2.5 mg)
Drug classes: Aromatase inhibitors, Hormones / antineoplastics","Letrozole lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body. Letrozole is used to treatbreast cancerin postmenopausal women. It is often given to women who have been takingtamoxifen(Nolvadex,Soltamox) for 5 years.",You should not use letrozole if you are pregnant. You should not use letrozole if you are allergic to it.,"hot flashes, warmth or redness in your face or chest;; headache, dizziness, weakness;; bone pain, muscle orjoint pain;; swelling, weight gain;; increasedsweating; or; increased cholesterol in your blood.",https://www.drugs.com/drug-interactions/letrozole.html
Leukeran,"
Generic name: chlorambucil [ klor-AM-bue-sil ]
Drug class: Alkylating agents","Leukeran is used to treat several types of cancer, includingHodgkin's diseaseand certain types of leukemia or lymphoma. Leukeran may also be used for purposes not listed in this medication guide.","Leukeran can increase your risk of bleeding or infection. Call your doctor if you have unusual bruising or bleeding, or new signs of infection (fever, chills, weakness). You should not be treated with Leukeran if you are allergic to it, or if you have received this medicine in the past without successful treatment of your condition.","a seizure;; an unusual mass or lump;; severe vomiting or diarrhea;; new or worsening cough;; bone marrow suppression--dizziness, pale lips or fingernail beds,fast heart rate, getting easily tired or short of breath;; liver problems--loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath.","https://www.drugs.com/drug-interactions/chlorambucil,leukeran.html"
Leuprolide,"
Generic name: leuprolide [ LOO-proe-lide ]
Brand names: Camcevi, Eligard, Fensolvi, Lupron Depot, Lupron Depot-Ped, 
... show all 8 brands

Lupron, Lupron Depot-Gyn, Viadur

Dosage forms: intramuscular kit (22.5 mg/3 months; 30 mg/4 months; 45 mg/6 months; 7.5 mg/month; pediatric 11.25 mg/3 months; pediatric 11.25 mg/month; pediatric 15 mg/month; pediatric 30 mg/3 months; pediatric 45 mg/6 months; pediatric 7.5 mg/month), 
... show all 5 dosage forms

intramuscular powder for injection, extended release (11.25 mg/3 months; 22.5 mg/3 months; 3.75 mg/month), subcutaneous emulsion (42 mg/6 months), subcutaneous kit (1 mg/0.2 mL), subcutaneous powder for injection, extended release (22.5 mg/3 months; 30 mg/4 months; 45 mg/6 months; 7.5 mg/month)

Drug classes: Gonadotropin releasing hormones, Hormones / antineoplastics","Leuprolide injection (Eligard, Lupron Depot) is used to treat the symptoms associated with advancedprostate cancer. Leuprolide injection (Lupron Depot-PED, Fensolvi) is used in children 2 years of age or older to treat central precocious puberty (CPP; a condition causing girls [usually younger than 8 years of age] and boys [usually younger than 9 years of age] to enter puberty too soon, resulting in faster than normal bone growth and development of sexual characteristics).","Your symptoms may become temporarily worse when you first start using leuprolide, including new or worsening symptoms of sexual development in children. Tell your doctor if this continues for longer than 2 months. Call your doctor at once if you have a seizure, unusual changes in mood or behavior, severe headaches, ringing in your ears, dizziness, nausea, vision problems, or pain behind your eyes.","bone pain, loss of movement in any part of your body;; swelling, rapid weight gain;; a seizure;; unusual changes in mood or behavior (crying spells, anger, feeling irritable);; sudden chest pain or discomfort,wheezing, drycoughor hack;; painful or difficult urination;; pain or unusual sensations in your back, numbness, weakness, or tingly feeling in your legs or feet;; muscle weakness or loss of muscle use, loss of bladder or bowel control;; problems with your pituitary gland- sudden severeheadache,vomiting, problems with your eyes or vision, changes in mood or behavior;; high blood sugar- increased thirst, increased urination, hunger,dry mouth, fruity breath odor;; heart attack symptoms- chest pain or pressure, pain spreading to your jaw or shoulder, nausea,sweating; or; signs of a stroke- sudden numbness or weakness, severe headache, slurred speech, problems with vision or balance.",https://www.drugs.com/drug-interactions/leuprolide.html
Levaquin,"
Generic name: levofloxacin (oral) [ LEE-voe-FLOX-a-sin ]
Drug class: Quinolones and fluoroquinolones",Levaquin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic that fights bacteria in the body. Levaquin is used to treat different types of bacterial infections. Levofloxacin is also used to treat people who have been exposed to anthrax or certain types ofplague.,"Levaquin can cause serious side effects, including tendon problems, nerve damage, serious mood or behavior changes, orlow blood sugar. Stop using this medicine and call your doctor at once if you have symptoms such as:headache, hunger, irritability, numbness, tingling, burning pain, confusion, agitation, paranoia, problems with memory or concentration, thoughts of suicide, or sudden pain or movement problems in any of your joints.","low blood sugar- headache, hunger, sweating, irritability,dizziness,nausea,fast heart rate, or feeling anxious or shaky;; nerve symptoms in your hands, arms, legs, or feet- numbness, weakness, tingling, burning pain;; serious mood or behavior changes- nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or; signs of tendon rupture- sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions).","https://www.drugs.com/drug-interactions/levofloxacin,levaquin.html"
Levemir,"
Generic name: insulin detemir [ IN-su-lin-DE-te-mir ]
Other brand names of insulin detemir include: Levemir, Levemir FlexTouch
Drug class: Insulin","Levemir is a man-made form of insulin, a hormone that is produced in the body. Insulin works by lowering levels of glucose (sugar) in the blood. Levemir is a long-acting insulin that starts to work several hours after injection and keeps working evenly for up to 24 hours.","You should not use Levemir if you are allergic to insulin detemir, or if you are in a state of diabetic ketoacidosis (call your doctor for treatment with a short-acting insulin). Never share a Levemir injection pen or syringe with another person, even if the needle has been changed.","fluid retention- weight gain, swelling in your hands or feet, feeling short of breath; or; low potassium- leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling.","https://www.drugs.com/drug-interactions/insulin-detemir,levemir.html"
Levetiracetam: Package Insert / Prescribing Info,"
Package insert / product label
Dosage form: tablet, film coated
Drug class: Pyrrolidine anticonvulsants",,,,
Levocetirizine,"
Generic name: levocetirizine [ LEE-voe-se-TIR-a-zeen ]
Brand names: Xyzal, Levrix
Dosage form: oral solution (2.5 mg/5 mL), oral tablet (5 mg)
Drug class: Antihistamines","Levocetirizine is an antihistamine that may be used to reduce allergy symptoms such as red, itchy, or watery eyes; a runny nose; sneezing; rashes; itching; or reactions to insect bites or stings. It is available as a tablet or solution that is taken once a day. Levocetirizine treats adults and children aged 6 months and older with: Levocetirizine works by reducing the effects of a natural chemical in the body called histamine. Histamine can produce symptoms such as a runny nose or hives.","Follow all the directions on your levocetirizine label and package. Tell all your healthcare providers that you take levocetirizine. Rarely, some people have reportedsevere itching when stopping levocetirizineafter daily, long-term use of at least a few months or several years. If you experience widespread, severe itching on stopping this medication, contact your healthcare provider.","worsening allergy or urticaria symptoms;; painful or difficult urination;; little or no urination;; a light-headed feeling, like you might pass out;; fever; or; signs of an ear infection--ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child.",https://www.drugs.com/drug-interactions/levocetirizine.html
Levodopa inhalation,"
Generic name: levodopa inhalation [ LEE-voe-DOE-pa ]
Brand names: Inbrija, Dopar, Larodopa
Dosage form: inhalation capsule (42 mg)
Drug class: Dopaminergic antiparkinsonism agents",Levodopa inhalation is used to treat symptoms ofParkinson's diseasethat come back (OFF episodes) while you are taking another medicine called carbidopa and levodopa. Levodopa inhalation is not to be used in place of any medicine you take daily for Parkinson's disease.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. Do not use levodopa inhalation if you have used an MAO inhibitor in the past 14 days.A dangerousdrug interactioncould occur. MAO inhibitors includeisocarboxazid, linezolid,methylene blueinjection,phenelzine,rasagiline, selegiline,tranylcypromine, and others.","extreme drowsiness, falling asleep suddenly (even after feeling alert);; nausea, sweating, and a light-headed feeling (like you might pass out);; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement);; confusion, paranoia, hallucinations (seeing or hearing things that are not real);; unusual thoughts or behavior;; trouble sleeping, or increased dreaming;; agitation, aggression; or; increased sexual urges, unusual urges to gamble, or other intense urges.",https://www.drugs.com/drug-interactions/levodopa.html
